Company,Industry,Region,Year,Company Report,Recommended Disclosure,Report URL
Repsol,Energy,Europe,2018,"Integrated Management Report 2018, p. 68",Metrics and Targets a); Metrics and Targets b); Metrics and Targets c),https://www.repsol.com/content/dam/repsol-corporate/en_gb/sostenibilidad/reports/2018/integrated-management_report_and_independent_verification_report_non-financial_2018_tcm14-147660.pdf#page=68
Rio Tinto,Materials and Buildings,Europe,2018,"Our Approach to Climate Change 2018, p. 22",Strategy c),https://www.riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Our-approach-to-climate-change.pdf?rev=c3c054dc7c5e425aa9efd0df397c56b0#page=13
Rio Tinto,Materials and Buildings,Europe,2017,"2017 Sustainable Development Report, p. 34",Risk Management a),https://www.riotinto.com/-/media/Content/Documents/Invest/Reports/Sustainable-development-reports/RT-Sustainable-development-2017.pdf?rev=94808c83adf14f63ac8862ccce8106b0#page=34
Rolls-Royce Holdings,Transportation,Europe,2019,"Annual Report 2019, p. 209",Metrics and Targets b),https://www.rolls-royce.com/~/media/Files/R/Rolls-Royce/documents/annual-report/2019/2019-full-annual-report.pdf#page=211
Royal Bank of Canada,Banking,North America,2019,"Task Force on Climate-related Financial Disclosures Report 2019, pp. 10 and 16",Strategy a); Strategy b),https://www.rbc.com/community-social-impact/_assets-custom/pdf/RBC-TCFD-Report-2019.PDF#page=10
Royal Bank of Canada,Banking,North America,2019,"Task Force on Climate-related Financial Disclosures Report 2019, pp. 9 and 11",Risk Management a); Risk Management b),https://www.rbc.com/community-social-impact/_assets-custom/pdf/RBC-TCFD-Report-2019.PDF#page=9
Royal Dutch Shell (Shell),Energy,Europe,2018,"Energy Transition Report, p. 39, 77",Strategy a); Strategy b); Strategy c),https://www.shell.com/energy-and-innovation/the-energy-future/shell-energy-transition-strategy/_jcr_content/par/textimage.stream/1524757699226/3f2ad7f01e2181c302cdc453c5642c77acb48ca3/web-shell-energy-transition-report.pdf#page=20
Royal Dutch Shell (Shell),Energy,Europe,2018,"Energy Transition Report, p. 57, 68",Metrics and Targets a); Metrics and Targets b),https://www.shell.com/energy-and-innovation/the-energy-future/shell-energy-transition-strategy/_jcr_content/par/textimage.stream/1524757699226/3f2ad7f01e2181c302cdc453c5642c77acb48ca3/web-shell-energy-transition-report.pdf#page=29
Salesforce,Technology and Media,North America,2018,"CDP Climate Change 2018 Report, item C1.1b and item C1.2",Governance b),https://www.cdp.net/en/responses/16158
Salesforce,Technology and Media,North America,2018,"FY18 Stakeholder Impact Report, p. 19",Metrics and Targets c),https://www.salesforce.com/content/dam/web/en_us/www/documents/reports/sustainability-FY18-stakeholder-impact-report.pdf#page=19
Salesforce,Technology and Media,North America,2018,"Step Up Commitments, pp. 1-2",Metrics and Targets c),https://www.salesforce.com/content/dam/web/en_us/www/documents/white-papers/step-up-commitments.pdf
Samsung Electronics,Technology and Media,Asia Pacific,2020,"Sustainability Report 2020, p. 26",Risk Management a); Risk Management b),https://images.samsung.com/is/content/samsung/p5/uk/pdf/Sustainability_report_2020_en_new.pdf#page=28
SAP,Technology and Media,Europe,2018,Interactive Integrated Report 2018,Strategy b),https://www.sap.com/integrated-reports/2018/en/connectivity.html
SAP,Technology and Media,Europe,2018,"2018 Integrated Report, p. 4, pp. 78-79",Metrics and Targets a); Metrics and Targets c),https://www.sap.com/docs/download/investors/2018/sap-2018-integrated-report.pdf#page=4
SAP,Technology and Media,Europe,2018,Interactive Chart Generator,Strategy a); Strategy b),https://www.sap.com/integrated-reports/2018/en/interactive-chart-generator.environment.greenhouse-gas-emissions.html
Scotiabank,Banking,North America,2018,"2018 Annual Report, pp. 87-88",Governance a);  Governance b),https://www.scotiabank.com/content/dam/scotiabank/corporate/quarterly-reports/2018/q4/BNS_Annual_Report_2018.pdf#page=89
Société Générale,Banking,Europe,2019,"Societe Generale’s Task Force on Climate-related Financial Disclosures Report, pp. 11 and 13",Strategy a),https://www.societegenerale.com/sites/default/files/documents/Document%20RSE/climate-disclosure-societe-generale-tcfd-report-june.pdf#page=12
Société Générale,Banking,Europe,2020,"Universal Registration Document 2020, p. 284",Risk Management c),https://www.societegenerale.com/sites/default/files/documents/Document-d-enregistrement-universel/2020/sg_urd_eng_2020.pdf#page=286
Solvay,Materials and Buildings,Europe,2019,"2019 Annual Integrated Report, p. 114",Governance a),https://www.solvay.com/sites/g/files/srpend221/files/2020-03/en_final_web_optimized.pdf#page=116
SSAB,Materials and Buildings; Energy,Europe,2017,"SSAB Annual Report 2017, pp. 59, 60, 120, 123,",Strategy b); Metrics and Targets a); Metrics and Targets b); Metrics and Targets c),https://ssabwebsitecdn.azureedge.net/-/media/files/company/investors/annual-reports/2017/ssab-annual-report-2017-en.pdf?m=20180319123646
